"frequency";"R1";"R2";"r S[1,1]";"i S[1,1]"
2.36053e+08;10000;10000;-0.906388;-0.0339456
2.44304e+08;10000;10000;-0.900178;0.0487539
2.52843e+08;10000;10000;-0.886554;0.129948
2.61681e+08;10000;10000;-0.865841;0.208767
2.70827e+08;10000;10000;-0.838492;0.28442
2.80293e+08;10000;10000;-0.805065;0.356214
2.9009e+08;10000;10000;-0.7662;0.423573
3.00229e+08;10000;10000;-0.722593;0.486038
3.10723e+08;10000;10000;-0.67497;0.54328
3.21584e+08;10000;10000;-0.624065;0.595086
3.32824e+08;10000;10000;-0.570596;0.641361
3.44457e+08;10000;10000;-0.51525;0.682109
3.56497e+08;10000;10000;-0.458669;0.717423
3.68957e+08;10000;10000;-0.401437;0.747469
3.81853e+08;10000;10000;-0.34408;0.772473
3.952e+08;10000;10000;-0.287056;0.792706
4.09013e+08;10000;10000;-0.230762;0.808469
4.23309e+08;10000;10000;-0.175531;0.820085
4.38105e+08;10000;10000;-0.121636;0.827885
4.53418e+08;10000;10000;-0.0692956;0.832204
4.69266e+08;10000;10000;-0.0186802;0.83337
4.85668e+08;10000;10000;0.0300849;0.831701
5.02643e+08;10000;10000;0.0769124;0.827503
5.20212e+08;10000;10000;0.121749;0.821063
5.38394e+08;10000;10000;0.164568;0.812652
5.57212e+08;10000;10000;0.205368;0.802519
5.76688e+08;10000;10000;0.244167;0.790896
5.96845e+08;10000;10000;0.280998;0.777994
6.17706e+08;10000;10000;0.315907;0.764007
6.39297e+08;10000;10000;0.34895;0.749108
6.61642e+08;10000;10000;0.380191;0.733455
6.84768e+08;10000;10000;0.409699;0.71719
7.08702e+08;10000;10000;0.437547;0.70044
7.33473e+08;10000;10000;0.46381;0.683317
7.5911e+08;10000;10000;0.488564;0.665922
7.85643e+08;10000;10000;0.511888;0.648344
8.13103e+08;10000;10000;0.533857;0.63066
8.41523e+08;10000;10000;0.554549;0.612941
8.70936e+08;10000;10000;0.574038;0.595246
9.01377e+08;10000;10000;0.592398;0.577628
9.32883e+08;10000;10000;0.6097;0.560132
9.65489e+08;10000;10000;0.626016;0.5428
9.99236e+08;10000;10000;0.641413;0.525664
1.03416e+09;10000;10000;0.655961;0.508754
1.07031e+09;10000;10000;0.669723;0.492095
1.10772e+09;10000;10000;0.682767;0.475708
1.14644e+09;10000;10000;0.695155;0.459609
1.18651e+09;10000;10000;0.706952;0.443812
1.22798e+09;10000;10000;0.718224;0.428327
1.2709e+09;10000;10000;0.729034;0.413162
1.31532e+09;10000;10000;0.73945;0.398319
1.36129e+09;10000;10000;0.74954;0.383799
1.40887e+09;10000;10000;0.759378;0.369597
1.45812e+09;10000;10000;0.769039;0.355702
1.50908e+09;10000;10000;0.778606;0.342099
1.56183e+09;10000;10000;0.788166;0.328761
1.61642e+09;10000;10000;0.797815;0.315651
1.67292e+09;10000;10000;0.807658;0.302716
1.73139e+09;10000;10000;0.817805;0.289882
1.79191e+09;10000;10000;0.828376;0.277049
1.85454e+09;10000;10000;0.839493;0.264077
1.91936e+09;10000;10000;0.851276;0.250781
1.98644e+09;10000;10000;0.863828;0.236915
2.05587e+09;10000;10000;0.877216;0.222163
2.12773e+09;10000;10000;0.891437;0.206129
2.2021e+09;10000;10000;0.906374;0.188343
2.27907e+09;10000;10000;0.921738;0.168291
2.35873e+09;10000;10000;0.937014;0.145472
2.44117e+09;10000;10000;0.951428;0.119514
2.5265e+09;10000;10000;0.963971;0.0903159
2.61481e+09;10000;10000;0.973527;0.0581982
2.7062e+09;10000;10000;0.979089;0.0239708
2.80079e+09;10000;10000;0.980026;-0.0111377
2.89868e+09;10000;10000;0.976269;-0.0457118
3e+09;10000;10000;0.968333;-0.0784585
