"frequency";"R1";"R2";"r S31";"i S31"
6.84768e+08;50;10000;-47.3374;0
7.08702e+08;50;10000;-47.3193;0
7.33473e+08;50;10000;-47.3023;0
7.5911e+08;50;10000;-47.2865;0
7.85643e+08;50;10000;-47.2715;0
8.13103e+08;50;10000;-47.2572;0
8.41523e+08;50;10000;-47.2436;0
8.70936e+08;50;10000;-47.2304;0
9.01377e+08;50;10000;-47.2177;0
9.32883e+08;50;10000;-47.2051;0
9.65489e+08;50;10000;-47.1927;0
9.99236e+08;50;10000;-47.1803;0
1.03416e+09;50;10000;-47.1678;0
1.07031e+09;50;10000;-47.155;0
1.10772e+09;50;10000;-47.1419;0
1.14644e+09;50;10000;-47.1283;0
1.18651e+09;50;10000;-47.1141;0
1.22798e+09;50;10000;-47.099;0
1.2709e+09;50;10000;-47.0829;0
1.31532e+09;50;10000;-47.0657;0
1.36129e+09;50;10000;-47.047;0
1.40887e+09;50;10000;-47.0267;0
1.45812e+09;50;10000;-47.0045;0
1.50908e+09;50;10000;-46.9799;0
1.56183e+09;50;10000;-46.9528;0
1.61642e+09;50;10000;-46.9226;0
1.67292e+09;50;10000;-46.889;0
1.73139e+09;50;10000;-46.8514;0
1.79191e+09;50;10000;-46.8095;0
1.85454e+09;50;10000;-46.7626;0
1.91936e+09;50;10000;-46.7105;0
1.98644e+09;50;10000;-46.6529;0
2.05587e+09;50;10000;-46.5898;0
2.12773e+09;50;10000;-46.5218;0
2.2021e+09;50;10000;-46.45;0
2.27907e+09;50;10000;-46.3766;0
2.35873e+09;50;10000;-46.3051;0
2.44117e+09;50;10000;-46.2398;0
2.5265e+09;50;10000;-46.1865;0
2.61481e+09;50;10000;-46.1508;0
2.7062e+09;50;10000;-46.1375;0
2.80079e+09;50;10000;-46.1494;0
2.89868e+09;50;10000;-46.1863;0
3e+09;50;10000;-46.245;0
1e+08;10000;10000;-71.3009;0
1.03495e+08;10000;10000;-70.1593;0
1.07113e+08;10000;10000;-69.0263;0
1.10857e+08;10000;10000;-67.9029;0
1.14731e+08;10000;10000;-66.7897;0
1.18741e+08;10000;10000;-65.6879;0
1.22892e+08;10000;10000;-64.5984;0
1.27187e+08;10000;10000;-63.5223;0
1.31633e+08;10000;10000;-62.4609;0
1.36233e+08;10000;10000;-61.4155;0
1.40995e+08;10000;10000;-60.3875;0
1.45923e+08;10000;10000;-59.3784;0
1.51024e+08;10000;10000;-58.3898;0
1.56302e+08;10000;10000;-57.4234;0
1.61765e+08;10000;10000;-56.4808;0
1.6742e+08;10000;10000;-55.5638;0
1.73271e+08;10000;10000;-54.6741;0
1.79328e+08;10000;10000;-53.8133;0
1.85596e+08;10000;10000;-52.983;0
1.92083e+08;10000;10000;-52.1847;0
1.98796e+08;10000;10000;-51.4197;0
2.05745e+08;10000;10000;-50.6892;0
2.12936e+08;10000;10000;-49.9941;0
2.20379e+08;10000;10000;-49.335;0
2.28081e+08;10000;10000;-48.7123;0
2.36053e+08;10000;10000;-48.1263;0
2.44304e+08;10000;10000;-47.5767;0
2.52843e+08;10000;10000;-47.0631;0
2.61681e+08;10000;10000;-46.5848;0
2.70827e+08;10000;10000;-46.1409;0
2.80293e+08;10000;10000;-45.7302;0
2.9009e+08;10000;10000;-45.3515;0
3.00229e+08;10000;10000;-45.0031;0
3.10723e+08;10000;10000;-44.6836;0
3.21584e+08;10000;10000;-44.3912;0
3.32824e+08;10000;10000;-44.1242;0
3.44457e+08;10000;10000;-43.8809;0
3.56497e+08;10000;10000;-43.6596;0
3.68957e+08;10000;10000;-43.4585;0
3.81853e+08;10000;10000;-43.276;0
3.952e+08;10000;10000;-43.1107;0
4.09013e+08;10000;10000;-42.9609;0
4.23309e+08;10000;10000;-42.8253;0
4.38105e+08;10000;10000;-42.7025;0
4.53418e+08;10000;10000;-42.5915;0
4.69266e+08;10000;10000;-42.491;0
4.85668e+08;10000;10000;-42.4;0
5.02643e+08;10000;10000;-42.3176;0
5.20212e+08;10000;10000;-42.2428;0
5.38394e+08;10000;10000;-42.175;0
5.57212e+08;10000;10000;-42.1134;0
5.76688e+08;10000;10000;-42.0574;0
5.96845e+08;10000;10000;-42.0063;0
6.17706e+08;10000;10000;-41.9597;0
6.39297e+08;10000;10000;-41.917;0
6.61642e+08;10000;10000;-41.8779;0
6.84768e+08;10000;10000;-41.8418;0
7.08702e+08;10000;10000;-41.8085;0
7.33473e+08;10000;10000;-41.7777;0
7.5911e+08;10000;10000;-41.749;0
7.85643e+08;10000;10000;-41.7222;0
8.13103e+08;10000;10000;-41.6969;0
8.41523e+08;10000;10000;-41.6731;0
8.70936e+08;10000;10000;-41.6503;0
9.01377e+08;10000;10000;-41.6286;0
9.32883e+08;10000;10000;-41.6076;0
9.65489e+08;10000;10000;-41.5871;0
9.99236e+08;10000;10000;-41.567;0
1.03416e+09;10000;10000;-41.5471;0
1.07031e+09;10000;10000;-41.5271;0
1.10772e+09;10000;10000;-41.5069;0
1.14644e+09;10000;10000;-41.4864;0
1.18651e+09;10000;10000;-41.4651;0
1.22798e+09;10000;10000;-41.443;0
1.2709e+09;10000;10000;-41.4198;0
1.31532e+09;10000;10000;-41.3952;0
1.36129e+09;10000;10000;-41.3689;0
1.40887e+09;10000;10000;-41.3405;0
1.45812e+09;10000;10000;-41.3097;0
1.50908e+09;10000;10000;-41.2761;0
1.56183e+09;10000;10000;-41.239;0
1.61642e+09;10000;10000;-41.1981;0
1.67292e+09;10000;10000;-41.1527;0
1.73139e+09;10000;10000;-41.1022;0
1.79191e+09;10000;10000;-41.046;0
1.85454e+09;10000;10000;-40.9834;0
1.91936e+09;10000;10000;-40.9139;0
1.98644e+09;10000;10000;-40.8371;0
2.05587e+09;10000;10000;-40.7532;0
2.12773e+09;10000;10000;-40.6629;0
2.2021e+09;10000;10000;-40.5677;0
2.27907e+09;10000;10000;-40.4707;0
2.35873e+09;10000;10000;-40.3763;0
2.44117e+09;10000;10000;-40.2909;0
2.5265e+09;10000;10000;-40.2218;0
2.61481e+09;10000;10000;-40.1769;0
2.7062e+09;10000;10000;-40.1627;0
2.80079e+09;10000;10000;-40.1826;0
2.89868e+09;10000;10000;-40.2362;0
3e+09;10000;10000;-40.3191;0
